Note: Includes top 1000 assets by bandwidth during the date range selected.
Asset Name,Bandwidth (GB),File Size (MB),Loaded Times
Wood with black coating.webp,0.19917,0.32680,608
TT1090R_L_02.webp,0.19430,0.42431,457
TT0724R_L_02.webp,0.16613,0.36187,458
TT0165_L_01.webp,0.12185,0.26288,462
thyme-table.jpg,0.10199,0.66565,153
TAL_Lifestyle_60.webp,0.10072,0.22150,453
BRAND IMAGE - BKLYN STEEL CO.webp,0.10002,0.60174,166
yellow cab games.webp,0.09892,0.58456,169
WM_Yellowstone_John-2023_28.webp,0.09817,0.16930,577
TT_Taco_Stand_03.webp,0.09761,0.21606,450
TT_Assorted_L_03.webp,0.09552,0.20863,456
TT_Assorted_Serveware_12.webp,0.09433,0.20738,453
CCCOMB12-DS_07.webp,0.09369,0.17018,548
Core_Home_IG_Carousel_Image_4.webp,0.08999,0.22469,399
65d77b89a4f705134a2d232c_Medici_LifeStyle_Web_019.webp,0.08670,0.52791,164
Core_Home_IG_Carousel_Image_6.webp,0.08114,0.20302,398
Chicago invitation_Photo_3.webp,0.08108,0.76417,106
37903_L_02(1).webp,0.07871,0.17368,451
Private_Label_1.webp,0.07697,0.46848,164
40825_How-Much-Money-NSFW_Lifestyle_23.webp,0.07456,0.16303,455
Core_Home_IG_Carousel_Image_2.webp,0.07335,0.18389,397
Chicago invitation_Photo_1.webp,0.07259,0.69059,105
BRAND IMAGE - TAL.webp,0.07139,0.41673,171
WW_Website_2022_12.webp,0.06449,0.39246,164
TT_Assorted_L_59.webp,0.06119,0.13513,450
WM_Yellowstone_John-2023_27.webp,0.05776,0.12586,456
46197_Crazy-Travel-Stories_Lifestyle_31.webp,0.05627,0.14126,396
warehouse-solarpanels.webp,0.05402,0.26398,204
Chicago invitation_06.webp,0.05365,0.09780,544
658089d101313c787f29b55d_BRAND IMAGE - Manna.webp,0.05345,0.31180,171
TT0328-ECOM_L_01.webp,0.04903,0.10646,457
HBA_TFW_Lifestyle_2022_08.jpg,0.04628,0.29022,159
CH_Website_Brooklyn_Steel_03.webp,0.04346,0.08825,488
ryant-park-nyc-new-york-city.webp,0.04299,0.50500,85
65847fad70fa01513084d109_156A5980).webp,0.04247,0.55080,77
Core_Home_IG_Carousel_Image_5.webp,0.04195,0.10675,390
RR42329_02.jpg,0.04175,0.26173,159
Chicago invitation_04.webp,0.03929,0.07360,528
Core_Home_IG_Carousel_Image_3.webp,0.03814,0.09501,398
65ce949c349e9f461436b8a6_Silicone & Bamboo-2 (3).webp,0.03806,0.22177,171
Mayim_Lifestyle_01.jpg,0.03758,0.23251,161
41709_02.jpg,0.03532,0.21855,161
Core_Home_IG_Carousel_Image_8.webp,0.03267,0.08211,394
Wild_and_Woofy_2022_17.webp,0.03127,0.07778,398
Screen Shot 2024-02-15 at 6.13.02 PM.webp,0.02966,0.18113,163
pair-materials-with-colors.png.webp,0.02858,0.15366,185
CoreHomeLogo_with Black Letters.webp,0.02816,0.20032,140
65d787adbcbec636605b21db_Bklyn Refinery Thumbnail.webp,0.02771,0.17029,162
MicrosoftTeams-image (38)-p-1600.webp,0.02686,0.10412,256
wellanddowd- thumbnail small.jpg,0.02651,0.16589,159
Satoshi-Medium.otf,0.02614,0.05035,510
Satoshi-Regular.otf,0.02594,0.04956,514
Thyme&Table Logo_white_with_shadow.png,0.02578,0.32542,79
Hydragear_Website_2022_06.webp,0.02549,0.05558,452
BKS_20720_02.webp,0.02517,0.05440,456
Satoshi-Bold.otf,0.02457,0.04967,486
Brand-gallary-image-tt-8.webp,0.02417,4.02731,6
maisondebase - small thumbnail.jpg,0.02382,0.14887,159
Core_Home_IG_Carousel_Image_6-p-500.webp,0.02240,0.04568,482
Core Home Team.webp,0.02237,0.27884,80
Satoshi-Light.otf,0.02182,0.04513,474
Core_Home_IG_Carousel_Image_4-p-500.webp,0.02162,0.04376,485
TT0165_L_01-p-1600.webp,0.02035,0.07807,258
AdobeStock_52675042.webp,0.01937,0.21683,89
core-sun-factory.webp,0.01919,0.10640,179
core-kitchen.webp,0.01861,0.11552,160
ryant-park-nyc-new-york-city-p-1600.webp,0.01756,0.30196,58
Puzzle-War-BK_Lifestyle_41.webp,0.01651,0.22225,74
658094fcd62721c433c0ab3c_Screen Shot 2023-12-11 at 5.01.55 PM.webp,0.01643,0.09999,163
core_bamboo_logo.png,0.01641,0.18782,87
collaborate with us.webp,0.01634,0.03503,456
WM_Yellowstone_John-2023_28-p-500.webp,0.01598,0.03098,503
nyc skyline.webp,0.01528,0.10382,146
46197_Crazy-Travel-Stories_Lifestyle_31-p-500.webp,0.01443,0.02920,481
AdobeStock_52675042-p-1600.webp,0.01392,0.16105,86
MicrosoftTeams-image (38)-p-2000.webp,0.01327,0.14181,93
MicrosoftTeams-image (38).webp,0.01296,0.61627,21
WM_Yellowstone_John-2023_28-p-1080.webp,0.01289,0.10230,125
BRAND IMAGE - BKLYN STEEL CO-p-2000.webp,0.01275,0.27050,47
65948824b77833de51872ddf_TT1128_L_02.webp,0.01272,0.63521,20
Satoshi-VariableItalic.ttf,0.01255,0.12975,96
Core_Home_IG_Carousel_Image_4-p-1080.webp,0.01229,0.10797,113
Core_Home_IG_Carousel_Image_6-p-1080.webp,0.01212,0.10641,113
65948824b77833de51872ddf_TT1128_L_02-p-2000.webp,0.01191,0.24741,48
Satoshi-Black.otf,0.01098,0.04693,230
BRAND IMAGE - BKLYN STEEL CO-p-1600.webp,0.01078,0.19512,55
Core_Home_IG_Carousel_Image_2-p-500.webp,0.01073,0.02156,480
Yellow_Cab_Games_Logo_white_with_shadow.png,0.01071,1.78396,6
arete and athene.webp,0.01056,0.06602,158
TT0165_L_01-p-2000.webp,0.01039,0.11341,91
yellow cab games-p-2000.webp,0.00981,0.20795,47
46197_Crazy-Travel-Stories_Lifestyle_31-p-1080.webp,0.00981,0.08751,111
Core_Home_IG_Carousel_Image_5-p-500.webp,0.00938,0.01868,481
Core_Home_IG_Carousel_Image_3-p-500.webp,0.00936,0.01866,481
TT_Assorted_L_45.jpg,0.00920,0.83537,11
Chicago invitation_05.webp,0.00885,0.07116,123
/corehome-e8c72b.shared.26550dfb4.min.css,0.00875,0.03901,219
yellow cab games-p-1600.webp,0.00862,0.15596,55
TT0727RPB-ECOM_01-p-2000.webp,0.00839,0.25329,33
TT_Assorted_L_41.jpg,0.00830,0.75406,11
Core_Home_IG_Carousel_Image_2-p-1080.webp,0.00804,0.07032,113
Core Home Team-p-1600.webp,0.00802,0.13506,59
TT_Assorted_L_49.jpg,0.00798,0.72414,11
BRAND IMAGE - TAL-p-2000.webp,0.00790,0.16739,47
Silicone & Bamboo (12)-p-2000.webp,0.00767,0.15894,48
TT0727RPB-ECOM_01.webp,0.00765,0.50934,15
TT_Assorted_L_03.jpg,0.00764,0.69335,11
TT_Assorted_Serveware_12.jpg,0.00755,0.68515,11
TT_Popsicle_Mold_L_02.jpg,0.00748,0.67928,11
CH_LIFESTYLE-35.webp,0.00745,0.04519,162
Chicago invitation_06-p-1600.webp,0.00742,0.06544,112
bryant-park-nyc-new-york-city.webp,0.00734,1.83519,4
Satoshi-Variable.ttf,0.00731,0.12742,57
TT_Mini_Grater_L_03.jpg,0.00724,0.65744,11
Brooklyn_Steel_Logo_white_with_shadow.png,0.00723,0.08520,84
Yellow_Cab_Games_Logo_white_with_shadow-p-2000.png,0.00704,0.26992,26
Silicone & Bamboo (12)-p-1600.webp,0.00694,0.12773,54
CH_LIFESTYLE-26.webp,0.00686,0.06275,108
TT_Taco_Stand_03.jpg,0.00686,0.62252,11
Silicone & Bamboo (12).webp,0.00683,0.20618,33
TT_Herb_Shears_L_04.jpg,0.00655,0.59454,11
wildandwoofycovercard.webp,0.00654,0.04008,160
TT_Assorted_Serveware_17.jpg,0.00651,0.59108,11
TT_Assorted_L_38.jpg,0.00647,0.58763,11
TT_Rectangular_Serving_Trays_02.jpg,0.00644,0.58442,11
RoamandRepeat_Logo_White_Shadow.png,0.00640,0.07925,80
giving-back.webp,0.00639,0.04328,145
CoreKitchen02.jpg,0.00636,0.90801,7
BRAND IMAGE - TAL-p-1600.webp,0.00630,0.11584,54
TT0724R_L_03-p-1600.webp,0.00628,0.26076,24
Wild_and_Woofy_2022_17-p-500.webp,0.00627,0.01226,480
TT0165_L_01-p-500.webp,0.00626,0.01223,480
TT_Assorted_L_04.jpg,0.00621,0.56351,11
pexels-artem-podrez-7235110-1440x2560-30fps-transcode.mp4,0.00602,0.28602,21
MicrosoftTeams-image (38)-p-1080.webp,0.00596,0.05648,104
BBBCDU201_02.jpg,0.00591,1.47685,4
Yellow_Cab_Games_Logo_white_with_shadow-p-1600.png,0.00582,0.19320,30
CH_LIFESTYLE-22.webp,0.00568,0.05831,96
TT_Popsicle_Mold_L_03.jpg,0.00565,0.51299,11
WM2428_L_01.jpg,0.00561,0.93403,6
Core_Home_IG_Carousel_Image_5-p-1080.webp,0.00559,0.04911,112
TT_Assorted_L_59.jpg,0.00554,0.50239,11
TT_Assorted_L_58.jpg,0.00553,0.50173,11
CK_TF1096B_Chopper_18_02.jpg,0.00546,0.49567,11
CoreKitchen11.jpg,0.00545,1.81588,3
bklynsteel-influencer.webp,0.00539,0.10697,50
Core_Home_IG_Carousel_Image_3-p-1080.webp,0.00524,0.04559,113
TT0727RPB-ECOM_01-p-1600.webp,0.00519,0.17226,30
/corehome-e8c72b.schunk.36b8fb49256177c8.js,0.00513,0.01364,351
Steven_Illustration_2024_04.webp,0.00510,0.09916,51
39026_L_01.jpg,0.00507,0.50589,10
Core_Home_IG_Carousel_Image_8-p-500.webp,0.00506,0.00970,482
CoreKitchen01.jpg,0.00506,0.72197,7
BRAND IMAGE - BKLYN STEEL CO-p-2600.webp,0.00505,0.38781,13
TT0724R_L_03.webp,0.00505,1.26201,4
Alan_Illustration_2024_04.webp,0.00504,0.09620,52
65ce949c349e9f461436b8a6_Silicone & Bamboo-2 (3)-p-1600.webp,0.00498,0.10288,48
/corehome-e8c72b.shared.26550dfb4.min.css,0.00495,0.03900,124
Wild_and_Woofy_2022_17-p-1080.webp,0.00490,0.04376,110
TT_Mini_Grater_L_05.jpg,0.00482,0.43744,11
TT1054_L_03.webp,0.00478,0.05824,81
CCCOMB12-DS_07-p-1600.webp,0.00474,0.08534,55
/corehome-e8c72b.schunk.2038439e9edcc2b6.js,0.00473,0.06760,69
WM2579_WM2580_L_01.jpg,0.00459,0.76372,6
65948824b77833de51872ddf_TT1128_L_02-p-2600.webp,0.00456,0.34961,13
TT0165_L_01-p-1080.webp,0.00453,0.03999,111
WM2590A_WM2590C_L_01.jpg,0.00453,0.75395,6
CoreKitchen13.jpg,0.00442,1.10517,4
WM2560-ECOM_L_01.jpg,0.00441,0.55075,8
WM2590A_WM2590C_L_02.jpg,0.00424,0.70632,6
Arete&Athene_Logo_white_with_shadow-p-2000.png,0.00421,0.16110,26
TT0165_L_01-p-2600.webp,0.00420,0.18177,23
65ce949c349e9f461436b8a6_Silicone & Bamboo-2 (3)-p-2000.webp,0.00416,0.12924,32
Core Home Team.webp,0.00413,0.07869,52
/corehome-e8c72b.schunk.2038439e9edcc2b6.js,0.00411,0.06745,60
WM1761_09.jpg,0.00404,0.33591,12
WM2516_05.jpg,0.00398,0.79590,5
663a5d646cf751ca610e40a9_Core_Home_IG_Carousel_Image_8.webp,0.00398,0.08211,48
CoreKitchen05.jpg,0.00397,0.56583,7
32173_08.jpg,0.00396,1.32021,3
Chicago invitation_05-p-1600.webp,0.00390,0.05186,74
CoreKitchen09.jpg,0.00389,0.64738,6
WM2440-ECOM_07.jpg,0.00385,0.42694,9
MicrosoftTeams-image (38)-p-3200.webp,0.00385,0.27389,14
MicrosoftTeams-image (38)-p-2600.webp,0.00381,0.19986,19
MicrosoftTeams-image (26).webp,0.00372,0.07828,47
MAN_Titan_Superbowl_2022_01-2.jpg,0.00368,0.36673,10
CH_Logo_Favicon.png,0.00350,0.02123,160
TT0727RPB-ECOM_01-p-2600.webp,0.00348,0.38601,9
MAN-33213_Titan_Spring-2022_18.jpg,0.00347,0.31475,11
tal-influencer.webp,0.00345,0.06829,50
MicrosoftTeams-image (38)-p-500.webp,0.00345,0.02223,150
yellow cab games-p-2600.webp,0.00344,0.28616,12
Arete&Athene_Logo_white_with_shadow.png,0.00343,0.85574,4
BBBCDU187_01.jpg,0.00340,0.84930,4
WM2530-ECOM_07.jpg,0.00339,0.56444,6
Yellow_Cab_Games_Logo_white_with_shadow-p-3200.png,0.00338,0.56213,6
Core Home Gold Logo with White BG - SVG-p-500.webp,0.00336,0.02977,110
Arete&Athene_Logo_white_with_shadow-p-1600.png,0.00333,0.11401,29
CCZODC12-DS_09.jpg,0.00333,0.83114,4
CoreKitchen15.jpg,0.00324,0.64648,5
Yellow_Cab_Games_Logo_white_with_shadow-p-2600.png,0.00323,0.40292,8
bryant-park-nyc-new-york-city-p-2600.webp,0.00319,0.79774,4
CoreKitchen08.jpg,0.00314,0.44819,7
TT0724R_L_03-p-2600.webp,0.00313,0.78211,4
HBA_Well&Dowd_Logo_LA_white.webp,0.00309,0.06792,45
BRAND IMAGE - TAL-p-2600.webp,0.00309,0.23667,13
manna-influencer.webp,0.00307,0.05938,51
RS39891_L_02.jpg,0.00300,0.27143,11
RS39889_L_01.jpg,0.00297,0.26923,11
18298_12.jpg,0.00297,0.26890,11
CoreKitchen17.jpg,0.00296,0.59103,5
Core_Home_IG_Carousel_Image_8-p-1080.webp,0.00296,0.02538,113
WM2522-ECOM_WM2524-ECOM_L_11.jpg,0.00294,0.41982,7
WM2562-ECOM_05.jpg,0.00293,0.48680,6
Wild_Woofy_Logo-01_White_with_shadow.png,0.00292,0.03282,87
WM2525-ECOM_L_03.jpg,0.00291,0.36287,8
WM2580_01.jpg,0.00290,0.57899,5
CoreKitchen16.jpg,0.00289,0.57767,5
CoreKitchen10.jpg,0.00287,0.47749,6
manna-logo-white.png,0.00286,0.03101,90
CoreKitchen12.jpg,0.00286,0.95159,3
TT1054_L_03-p-1600.webp,0.00285,0.04745,59
65948824b77833de51872ddf_TT1128_L_02-p-1600.webp,0.00283,0.17602,16
Satoshi-LightItalic.otf,0.00280,0.04658,59
MAN_Saratoga_2022_03.jpg,0.00277,0.27573,10
32169_09.jpg,0.00274,0.91357,3
CH_Website_Icons_2024_WH-Barware.webp,0.00269,0.01676,153
15548_03.jpg,0.00269,0.89414,3
MAN-27702_Titan_Spring-2022_01.jpg,0.00268,0.24311,11
WW_Website_2022_15.jpg,0.00267,0.89032,3
ryant-park-nyc-new-york-city-p-1080.webp,0.00262,0.17357,15
WM2528-ECOM_07.jpg,0.00261,0.43482,6
658089d101313c787f29b55d_BRAND IMAGE - Manna-p-2000.webp,0.00261,0.05472,47
Chicago invitation_04-p-1600.webp,0.00260,0.05228,49
CH_Website_Icons_2024_WH-Bakeware.webp,0.00257,0.01587,154
JCP37503_L_01.jpg,0.00256,2.56331,1
SPY35930_Tahoe_Spring-2022_03.jpg,0.00256,0.23209,11
Tal_Logo_white.png,0.00256,0.02792,89
WW_Website_2022_14.jpg,0.00255,0.84829,3
CoreKitchen06.jpg,0.00251,0.83474,3
15547_01.jpg,0.00249,0.82744,3
CoreKitchen14.jpg,0.00247,0.82323,3
15554_09.jpg,0.00242,0.80527,3
core-sun-factory.webp,0.00242,0.17164,14
CH_Website_Icons_2024_WH-Dinnerware.webp,0.00241,0.01519,151
SPY35918_Wine-Tumbler_Spring-2022_18.jpg,0.00241,0.21839,11
MAN-33213_Titan_Spring-2022_13.jpg,0.00233,0.19332,12
WM2422_L_16.jpg,0.00230,0.45983,5
JCP37508_L_01.jpg,0.00229,2.28726,1
WM2251_L_17.jpg,0.00228,0.37897,6
658089d101313c787f29b55d_BRAND IMAGE - Manna-p-1600.webp,0.00226,0.04022,55
WM2448-ECOM_07.jpg,0.00224,0.24785,9
Screenshot 2024-01-09 at 2.14.53 PM.png,0.00223,2.23285,1
Wood with black coating-p-1080.webp,0.00223,0.14774,15
17784_03.jpg,0.00220,0.54924,4
/corehome-e8c72b.schunk.2038439e9edcc2b6.js,0.00219,0.06748,32
Arete&Athene_Logo_white_with_shadow-p-2600.png,0.00218,0.24097,9
CH_Website_Icons_2024_WH-CleaningAccessories.webp,0.00217,0.01347,152
Core Home Gold Logo with White BG - SVG.webp,0.00217,0.72113,3
bryant-park-nyc-new-york-city-p-3200.webp,0.00214,1.06946,2
SPY35928_Tahoe_Spring-2022_12.jpg,0.00212,0.19162,11
SPY35918_Wine-Tumbler_Spring-2022_05.jpg,0.00210,0.19045,11
CH_Website_Icons_2024_WH-Health&Beauty.webp,0.00208,0.01290,152
MAN_SPY32036C_Summer22_01.jpg,0.00206,0.18632,11
Screenshot 2024-01-09 at 2.14.46 PM.png,0.00205,2.04998,1
CH_Website_Icons_2024_WH-Utensils.webp,0.00204,0.01243,154
BSA-Logo_Color_large_white.webp,0.00200,0.05333,37
Screenshot 2024-01-09 at 2.14.58 PM.png,0.00200,2.00008,1
15547_04.jpg,0.00199,0.66133,3
/corehome-e8c72b.schunk.36b8fb49256177c8.js,0.00199,0.01364,136
BKS_27037_01.jpg,0.00198,0.49507,4
CH_Website_Icons_2024_WH-LunchTo-Go.webp,0.00197,0.01218,152
CoreKitchen04.jpg,0.00195,0.97635,2
Medici_Logo_TM.webp,0.00195,0.02393,79
Arete&Athene_Logo_white_with_shadow-p-3200.png,0.00194,0.32169,6
37903_L_02(1).jpg,0.00191,0.63670,3
corehome-opengraph-url.jpg,0.00191,0.11154,17
37905_L_01.jpg,0.00191,0.63498,3
WM2035_L_12.jpg,0.00190,0.31641,6
37907_L_02.jpg,0.00189,0.94504,2
sweet_sugar_Logo_TM.webp,0.00189,0.02224,82
37901_L_02.jpg,0.00188,0.93843,2
Brand-gallary-image-tt-5.webp,0.00187,0.46612,4
WW_Website_2022_13.jpg,0.00187,0.62153,3
37905_L_02.jpg,0.00186,0.92881,2
CCCOMB12-DS_07.webp,0.00185,0.46210,4
CCCOMB12-DS_07.jpg,0.00180,1.79493,1
30200_L_01.jpg,0.00179,0.59655,3
AdobeStock_52675042-p-1080.webp,0.00179,0.09840,18
CH_Website_Icons_2024_WH-Stationery.webp,0.00178,0.01101,151
/corehome-e8c72b.schunk.2038439e9edcc2b6.js,0.00178,0.06748,26
CH_Website_Brooklyn_Steel_03.jpg,0.00177,0.44183,4
CCCOMG12-DS_07.jpg,0.00177,1.76732,1
CH_Website_Icons_2024_WH-Gadgets.webp,0.00176,0.01048,156
Scribble&Scribe_Logo.webp,0.00173,0.02141,78
