Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Color (product.metafields.shopify.color-pattern),Material (product.metafields.shopify.material),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
fizz-bottle,Fizz Bottle,"<p>The Fizz Bottle is a refillable sparkling water bottle with a built-in CO₂ canister system. Pair with flavor packs for fresh, fizzy drinks on the go.</p>",Fizz,Home & Garden > Kitchen & Dining > Kitchen Appliance Accessories > Soda Maker Accessories > Bottles,Bottle,Bottle,true,Color,Charcoal Black,,,,,,,,FIZZ-BTL-BLK,500.0,,0,deny,manual,50.00,44.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/5610/6269/files/bottle-black.png?v=1780586802,1,,false,Fizz Bottle | Portable Sparkling Water Bottle with CO₂,Make sparkling water anywhere with Fizz Bottle.,,,,,,,https://cdn.shopify.com/s/files/1/0996/5610/6269/files/bottle-black.png?v=1780586802,lb,,,active
fizz-bottle,,,,,,,,Color,Arctic White,,,,,,,,FIZZ-BTL-WHT,500.0,,0,deny,manual,50.00,44.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/5610/6269/files/bottle-white.png?v=1780587243,2,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0996/5610/6269/files/bottle-white.png?v=1780587243,lb,,,
fizz-bottle,,,,,,,,Color,Coral Orange,,,,,,,,FIZZ-BTL-ORG,500.0,,0,deny,manual,50.00,44.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/5610/6269/files/bottle-orange.png?v=1780587243,3,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0996/5610/6269/files/bottle-orange.png?v=1780587243,lb,,,
fizz-bottle,,,,,,,,Color,Sage Green,,,,,,,,FIZZ-BTL-GRN,500.0,,0,deny,manual,50.00,44.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/5610/6269/files/bottle-green.png?v=1780587242,4,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0996/5610/6269/files/bottle-green.png?v=1780587242,lb,,,
fizz-bottle,,,,,,,,Color,Electric Blue,,,,,,,,FIZZ-BTL-BLU,500.0,,0,deny,manual,50.00,44.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/5610/6269/files/bottle-blue.png?v=1780587242,5,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0996/5610/6269/files/bottle-blue.png?v=1780587242,lb,,,
fizz-bottle,,,,,,,,Color,Steel Navy,,,,,,,,FIZZ-BTL-NVY,500.0,,0,deny,manual,50.00,44.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/5610/6269/files/bottle-navy.png?v=1780587242,6,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0996/5610/6269/files/bottle-navy.png?v=1780587242,lb,,,
fizz-flavor-orange-tangerine,Orange Tangerine,<p>A bright citrus burst crafted from real orange and tangerine extracts. Natural on-the-go sachet for your Fizz bottle.</p>,Fizz,Food & Beverages > Beverages > Water > Flavored Water,Flavor Pack,Flavor Packs,true,Title,Default Title,,,,,,,,FIZZ-FLV-ORG,50.0,,0,deny,manual,1.50,,true,true,,,,,,,,,false,Orange Tangerine Flavor Pack | Fizz,Natural citrus flavor sachet for sparkling water.,,,,,,,,lb,,,active
fizz-flavor-zesty-lime,Zesty Lime,"<p>Crisp, refreshing lime flavor with a clean sparkling finish. Natural on-the-go sachet for your Fizz bottle.</p>",Fizz,Food & Beverages > Beverages > Water > Flavored Water,Flavor Pack,Flavor Packs,true,Title,Default Title,,,,,,,,FIZZ-FLV-LME,50.0,,0,deny,manual,1.50,,true,true,,,,,,,,,false,Zesty Lime Flavor Pack | Fizz,Natural lime flavor sachet for sparkling water.,,,,,,,,lb,,,active
fizz-flavor-mixed-berry,Mixed Berry,<p>Blueberry and raspberry notes blended for a bold berry sparkle. Natural on-the-go sachet for your Fizz bottle.</p>,Fizz,Food & Beverages > Beverages > Water > Flavored Water,Flavor Pack,Flavor Packs,true,Title,Default Title,,,,,,,,FIZZ-FLV-BRY,50.0,,0,deny,manual,1.50,,true,true,,,,,,,,,false,Mixed Berry Flavor Pack | Fizz,Natural berry flavor sachet for sparkling water.,,,,,,,,lb,,,active
fizz-co2-refills,Fizz Charge,<p>Refillable CO₂ canisters. Each cartridge carbonates up to 12 liters — one Fizz cartridge replaces a case of cans.</p>,Fizz,Home & Garden > Kitchen & Dining > Kitchen Appliance Accessories > Soda Maker Accessories,CO2 Refill,CO2 Canisters,true,Title,Default Title,,,,,,,,FIZZ-CO2-STD,200.0,,0,deny,manual,18.00,,true,true,,,,,,,,,false,Fizz Charge CO₂ Refills | Fizz,Keep the bubbles going with Fizz Charge refill canisters.,,,,,,,,lb,,,active
